attributes.Ambience.divey,attributes.Dietary Restrictions.vegan,attributes.Happy Hour,hours.Thursday.open,attributes.Order at Counter,attributes.Hair Types Specialized In.africanamerican,attributes.Hair Types Specialized In.kids,attributes.BYOB,hours.Friday.open,attributes.Good For.latenight,attributes.Outdoor Seating,attributes.Alcohol,attributes.Ambience.classy,attributes.By Appointment Only,attributes.Parking.lot,business_id,attributes.Ambience.touristy,attributes.Corkage,hours.Tuesday.open,attributes.Good For.brunch,categories,attributes.Waiter Service,hours.Monday.open,name,attributes.Parking.street,attributes.Ambience.hipster,attributes.BYOB/Corkage,attributes.Hair Types Specialized In.straightperms,attributes.Music.live,attributes.Dietary Restrictions.dairy-free,attributes.Music.background_music,attributes.Price Range,attributes.Good For.breakfast,attributes.Parking.garage,attributes.Music.karaoke,attributes.Good For Dancing,review_count,attributes.Hair Types Specialized In.asian,state,attributes.Accepts Credit Cards,hours.Friday.close,attributes.Good For.lunch,attributes.Parking.valet,attributes.Take-out,full_address,hours.Thursday.close,attributes.Hair Types Specialized In.coloring,attributes.Good For.dessert,attributes.Music.video,attributes.Dietary Restrictions.halal,attributes.Takes Reservations,hours.Saturday.open,attributes.Ages Allowed,attributes.Ambience.trendy,attributes.Delivery,hours.Wednesday.close,attributes.Wi-Fi,open,city,attributes.Wheelchair Accessible,attributes.Dietary Restrictions.gluten-free,stars,attributes.Dietary Restrictions.kosher,type,attributes.Caters,attributes.Ambience.intimate,latitude,attributes.Good For.dinner,attributes.Coat Check,longitude,hours.Monday.close,attributes.Hair Types Specialized In.extensions,hours.Tuesday.close,hours.Saturday.close,attributes.Good for Kids,attributes.Parking.validated,hours.Sunday.open,attributes.Accepts Insurance,attributes.Music.dj,attributes.Dietary Restrictions.soy-free,attributes.Has TV,hours.Sunday.close,attributes.Ambience.casual,attributes.Hair Types Specialized In.perms,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Dietary Restrictions.vegetarian,hours.Wednesday.open,attributes.Noise Level,attributes.Smoking,attributes.Attire,attributes.Hair Types Specialized In.curly,attributes.Good For Groups,neighborhoods,attributes.Open 24 Hours,attributes.Ambience.romantic,attributes.Music.jukebox,attributes.Ambience.upscale
False,,,10:00,,,,,10:00,,False,none,False,,True,x5Mv61CnZLohZWxfCVCPTQ,False,,10:00,,"['Sandwiches', 'Pizza', 'Chicken Wings', 'Restaurants']",False,10:00,Domino's Pizza,False,False,,,,,,2,,False,,,16,,AZ,True,02:00,,False,True,"2819 N Central Ave
Phoenix, AZ 85004",00:00,,,,,False,10:00,,False,True,00:00,no,True,Phoenix,True,,2.5,,business,False,False,33.4794817,,,-112.0736806,00:00,,00:00,02:00,False,False,10:00,,,,False,00:00,False,,,,,10:00,loud,,casual,,False,[],,False,,False
,,,,,,,,,,,,,,,2ZnCITVa0abGce4gZ6RhIw,,,,,"['American (New)', 'Sandwiches', 'Restaurants']",,,Viad Tower Restaurants,,,,,,,,1,,,,,6,,AZ,True,,,,True,"1850 N Central Ave
Phoenix, AZ 85004",,,,,,False,,,,False,,,True,Phoenix,,,3.5,,business,,,33.4685474,,,-112.0750849,,,,,True,,,,,,,,,,,,,,quiet,,,,True,[],,,,
False,,False,09:00,,,,,09:00,False,True,full_bar,False,,False,EmzaQR5hQlF0WIl24NxAZA,False,,,False,"['American (New)', 'Nightlife', 'Dance Clubs', 'Restaurants']",False,,Sky Lounge,False,False,,,False,,,1,False,True,,True,25,,AZ,True,03:00,False,False,False,"132 E Washington St
Phoenix, AZ 85004",03:00,,False,False,,True,09:00,21plus,False,False,,no,True,Phoenix,True,,2.5,,business,False,False,33.4483992,False,False,-112.0717019,,,,03:00,False,False,09:00,,True,,True,03:00,True,,False,,,,very_loud,outdoor,casual,,True,[],,False,False,False
False,,,11:00,,,,,11:00,False,True,full_bar,False,,True,KPoTixdjoJxSqRSEApSAGg,False,,11:00,False,"['Thai', 'Restaurants']",True,11:00,Wild Thaiger,False,False,,,,,,2,False,False,,,432,,AZ,True,22:00,True,False,True,"2631 N Central Ave
Phoenix, AZ 85004",21:00,,False,,,True,11:00,,False,False,21:00,free,True,Phoenix,True,,3.5,,business,True,False,33.477939,True,,-112.073417,21:00,,21:00,22:00,True,False,17:00,,,,True,21:00,True,,,,,11:00,average,,casual,,True,[],,False,,False
False,,,11:00,False,,,,11:00,False,True,full_bar,False,,False,e5kc0CQ4R-PCCDgb274gSg,False,,11:00,False,"['Cafes', 'Mexican', 'Tex-Mex', 'Restaurants']",True,11:00,Canyon Cafe,False,False,,,,,,2,False,True,,,238,,AZ,True,22:00,False,False,True,"455 N 3rd St
Ste 114
Phoenix, AZ 85004",22:00,,False,,,True,11:00,,False,False,22:00,no,True,Phoenix,True,,3.5,,business,True,False,33.4521542,True,,-112.0686202,21:00,,22:00,22:00,True,False,11:00,,,,True,21:00,True,,,,,11:00,average,,casual,,True,[],False,False,,False
,,,,,,,,,False,True,full_bar,,,False,gBcpDl0quCLABsg5OuSFww,,,,True,"['Food', 'Tea Rooms', 'Breakfast & Brunch', 'Sandwiches', 'Restaurants']",True,,Teeter House Tea Room,False,,no,,,,,2,False,True,,,12,,AZ,True,,True,False,True,"622 E Adams St
Phoenix, AZ 85004",,,False,,,True,,,,False,,,False,Phoenix,False,,3.5,,business,,,33.4492979,False,,-112.0655423,,,,,True,True,,,,,,,,,,,,,,,casual,,True,[],False,,,
,,,,,,,,,False,,none,,,,72N6TdH5MdUWE2YhYRbyxw,,,,False,"['Burgers', 'Restaurants']",False,,Burger King,,,,,,,,3,False,,,,12,,AZ,True,,False,,True,"2530 N Central Ave
Phoenix, AZ 85004",,,False,,,False,,,,False,,,True,Phoenix,,,2.5,,business,,,33.47626,False,,-112.074248,,,,,True,,,,,,,,,,,False,,,,,casual,,False,[],,,,
,,,07:00,,,,,07:00,False,False,,,,,eOgUKCy5-sK-leqIBiNokg,,,07:00,False,"['Cafes', 'Restaurants']",False,07:00,Copper Square Cafe,,,,,,,,1,False,,,,3,,AZ,True,15:00,False,,True,"2 N Central Ave
Phoenix, AZ 85004",15:00,,False,,,False,,,,True,15:00,,False,Phoenix,,,3.0,,business,,,33.4484911,False,,-112.0744277,15:00,,15:00,,True,,,,,,False,,,,,,,07:00,,,casual,,True,[],,,,
False,,,07:00,,,,,07:00,False,False,none,False,,False,neGAQFkBNI8-rpPBLBzNkw,False,,07:00,False,"['Fast Food', 'Mexican', 'Tex-Mex', 'Restaurants']",False,07:00,Taco Bell,False,False,,,,,,1,False,False,,,10,,AZ,True,02:00,True,False,True,"301 East McDowell Road
Phoenix, AZ 85004",01:00,,False,,,False,07:00,,False,False,01:00,no,True,Phoenix,True,,4.0,,business,False,False,33.46544,False,,-112.06909,01:00,,01:00,02:00,True,False,07:00,,,,False,01:00,False,,,True,,07:00,average,,casual,,True,[],,False,,False
False,,True,11:00,,,,,11:00,False,True,full_bar,False,,False,45puCRQ6Vh_IIAy7kkfFDQ,False,,11:00,False,"['Bars', 'Restaurants', 'American (Traditional)', 'Sports Bars', 'Nightlife']",True,11:00,Majerle's Sports Grill,True,False,,,,,,2,False,True,,False,205,,AZ,True,02:00,True,False,True,"24 N 2nd St
Phoenix, AZ 85004",02:00,,False,,,True,11:00,,False,False,02:00,no,True,Phoenix,True,,3.5,,business,True,False,33.4484654,False,False,-112.0712574,02:00,,02:00,02:00,False,False,11:00,,False,,True,02:00,True,,,,,11:00,loud,no,casual,,True,[],,False,,False
,,,,,,,,,True,True,full_bar,,,False,nc3IiY5LNdmEwUZCW84yuA,,,,False,"['Pizza', 'Restaurants']",True,,Pizzeria Uno,False,,,,,,,2,False,True,,,18,,AZ,True,,True,False,True,"455 N 3rd St
Phoenix, AZ 85004",,,False,,,False,,,,False,,,False,Phoenix,True,,2.5,,business,,,33.4521542,True,,-112.0686202,,,,,True,True,,,,,,,,,,,,,,,casual,,True,[],,,,
False,,,,,,,,,False,False,none,False,,True,P7wKlbSRsoRrfH3DFOY08A,False,,,False,"['Breakfast & Brunch', 'Restaurants']",True,,International House of Pancakes,False,False,,,,,,1,True,False,,,57,,AZ,True,,False,False,True,"2508 N Central Ave
Phoenix, AZ 85004",,,False,,,False,,,False,False,,no,True,Phoenix,True,,3.0,,business,False,False,33.475583,False,,-112.074115,,,,,True,False,,,,,False,,True,,,,,,average,,casual,,True,[],,False,,False
False,,,08:00,False,,,False,08:00,False,False,full_bar,False,,True,BESmH-lmMm34_EefL8X9fQ,False,False,08:00,False,"['Mexican', 'Restaurants']",True,,Comedor Guadalajara,False,False,yes_free,,,,,2,False,False,,,265,,AZ,True,21:00,True,False,True,"1830 S Central Ave
Phoenix, AZ 85004",20:00,,False,,,False,08:00,,False,False,20:00,no,True,Phoenix,True,,4.0,,business,True,False,33.429424,False,,-112.073929,,,15:00,21:00,True,False,08:00,,,,False,20:00,True,,,,,08:00,average,,casual,,True,[],,False,,False
False,,,06:30,,,,,06:30,False,True,beer_and_wine,False,,True,D09yG6Z3gcsh24Qn7Y4gYA,False,,06:30,False,"['Mexican', 'Restaurants']",False,06:30,Chico's Tacos,False,False,,,,,,1,False,False,,,89,,AZ,True,19:00,True,False,True,"530 E McDowell Rd
Ste 103
Phoenix, AZ 85004",19:00,,False,,,False,07:00,,False,False,19:00,free,True,Phoenix,True,,3.0,,business,True,False,33.4657117,False,,-112.0657286,19:00,,20:00,17:00,True,False,,,,,True,,True,,,,,06:30,average,,casual,,True,[],,False,,False
False,,,10:30,,,,False,10:30,False,True,none,False,,True,kaIue7GRCmkPzDeHDBTttQ,False,,10:30,False,"['Sushi Bars', 'Japanese', 'Restaurants']",False,10:30,Phoenix Blue Fin,False,False,no,,,,,1,False,False,,,172,,AZ,True,18:30,True,False,True,"1401 N Central Ave
Phoenix, AZ 85004",18:30,,False,,,False,,,False,False,18:30,no,True,Phoenix,True,,4.0,,business,True,False,33.4640982988,False,,-112.073569,18:30,,18:30,,True,False,,,,,False,,True,,,,,10:30,average,,casual,,False,[],False,False,,False
False,,True,11:00,True,,,False,11:00,False,True,full_bar,False,,False,j8nyAaN_w5t6wYv-ni23sg,False,,11:00,False,"['Nightlife', 'Bars', 'American (New)', 'Sports Bars', 'Restaurants']",True,11:00,Coach & Willies,True,False,no,,False,,,2,False,False,,False,73,,AZ,True,02:00,True,False,True,"412 S 3rd St
Phoenix, AZ 85004",22:00,,False,False,,False,11:00,,False,False,22:00,free,False,Phoenix,True,,3.0,,business,True,False,33.443909,True,False,-112.070122,22:00,,22:00,02:00,False,False,11:00,,False,,True,20:00,True,,True,,,11:00,average,outdoor,casual,,True,[],,False,True,False
,,True,,True,,,,,False,True,none,,,False,5XIvwfbIa-vuFEkkeCQ6kQ,,,,False,"['Bars', 'American (New)', 'Restaurants', 'Sports Bars', 'Nightlife']",True,,Jackson's On 3rd,False,,,,,,,2,False,False,,,9,,AZ,True,,False,False,True,"245 E Jackson St
Phoenix, AZ 85004",,,False,,,False,,,,False,,,False,Phoenix,True,,2.0,,business,,,33.4450359,False,False,-112.0706266,,,,,False,False,,,,,,,,,,,,,,outdoor,casual,,True,[],,,,
,True,,,False,,,False,,True,True,full_bar,,,False,VsO_rhXi5lgbaGxNwoEZsQ,,False,,False,"['Asian Fusion', 'Chinese', 'Restaurants']",True,,Fate 905,True,,no,,,True,,2,False,False,,,90,,AZ,True,,False,False,True,"905 N 4th St
Phoenix, AZ 85004",,,False,,False,True,,,,False,,,False,Phoenix,True,False,3.0,False,business,,,33.4579128,True,,-112.0686777,,,,,False,False,,,,False,,,,,,,True,,,,casual,,False,[],False,,,
False,,,09:00,,,,,07:00,False,True,full_bar,False,,False,Y293fHh5SZ0_9BZm4M6BCg,False,,09:00,False,"['Greek', 'Mexican', 'Restaurants']",True,09:00,Matador Restaurant,True,False,,,,,,2,False,True,,,57,,AZ,True,22:00,True,False,True,"125 E Adams St
Phoenix, AZ 85004",21:00,,False,,,True,07:00,,False,True,21:00,free,False,Phoenix,True,,3.0,,business,False,False,33.4493093,True,,-112.07194,21:00,,21:00,22:00,True,True,07:00,,,,False,22:00,True,,,,,09:00,average,,casual,,True,[],,False,,False
