business_id,name,full_address
x5Mv61CnZLohZWxfCVCPTQ,Domino's Pizza,"2819 N Central Ave
Phoenix, AZ 85004"
2ZnCITVa0abGce4gZ6RhIw,Viad Tower Restaurants,"1850 N Central Ave
Phoenix, AZ 85004"
EmzaQR5hQlF0WIl24NxAZA,Sky Lounge,"132 E Washington St
Phoenix, AZ 85004"
KPoTixdjoJxSqRSEApSAGg,Wild Thaiger,"2631 N Central Ave
Phoenix, AZ 85004"
e5kc0CQ4R-PCCDgb274gSg,Canyon Cafe,"455 N 3rd St
Ste 114
Phoenix, AZ 85004"
gBcpDl0quCLABsg5OuSFww,Teeter House Tea Room,"622 E Adams St
Phoenix, AZ 85004"
72N6TdH5MdUWE2YhYRbyxw,Burger King,"2530 N Central Ave
Phoenix, AZ 85004"
eOgUKCy5-sK-leqIBiNokg,Copper Square Cafe,"2 N Central Ave
Phoenix, AZ 85004"
neGAQFkBNI8-rpPBLBzNkw,Taco Bell,"301 East McDowell Road
Phoenix, AZ 85004"
45puCRQ6Vh_IIAy7kkfFDQ,Majerle's Sports Grill,"24 N 2nd St
Phoenix, AZ 85004"
nc3IiY5LNdmEwUZCW84yuA,Pizzeria Uno,"455 N 3rd St
Phoenix, AZ 85004"
P7wKlbSRsoRrfH3DFOY08A,International House of Pancakes,"2508 N Central Ave
Phoenix, AZ 85004"
BESmH-lmMm34_EefL8X9fQ,Comedor Guadalajara,"1830 S Central Ave
Phoenix, AZ 85004"
D09yG6Z3gcsh24Qn7Y4gYA,Chico's Tacos,"530 E McDowell Rd
Ste 103
Phoenix, AZ 85004"
kaIue7GRCmkPzDeHDBTttQ,Phoenix Blue Fin,"1401 N Central Ave
Phoenix, AZ 85004"
j8nyAaN_w5t6wYv-ni23sg,Coach & Willies,"412 S 3rd St
Phoenix, AZ 85004"
5XIvwfbIa-vuFEkkeCQ6kQ,Jackson's On 3rd,"245 E Jackson St
Phoenix, AZ 85004"
VsO_rhXi5lgbaGxNwoEZsQ,Fate 905,"905 N 4th St
Phoenix, AZ 85004"
Y293fHh5SZ0_9BZm4M6BCg,Matador Restaurant,"125 E Adams St
Phoenix, AZ 85004"
IceZ4BtTz76eppjNWm-c6A,Paisley Violin,"1030 NW Grand Ave
Phoenix, AZ 85007"
QsvRjgQacMMFf8dit7qqDw,New Garden Restaurant,"823 S Central Ave
Phoenix, AZ 85004"
LXhL5X3edNRy7epku6UAEw,Paradise Bakery,"3 S 2nd St
Ste 205
Phoenix, AZ 85004"
=-lOSaCuBRAvX5JBifx-EMw,Mi Amigo's Mexican Grill,"455 N 3rd St
Phoenix, AZ 85004"
XI-_Y2XRw03mozGx0Z90Gw,Baja Fresh Mexican Grill,"50 N Central Ave
Phoenix, AZ 85004"
qsWxbgQwuomXvMseg23DGg,Hooters,"455 N 3rd
190 Arizona Center
Phoenix, AZ 85004"
DlCtdbceo4YNSI53cCL2lg,The Old Spaghetti Factory,"1418 N Central Ave
Phoenix, AZ 85004"
kR5i58Pcse1FD9tk-yYLlA,Crave Sandwich Cafe & Catering,"541 E Van Buren St
Phoenix, AZ 85004"
2I666dqzs1XB6xigIKa9bA,Tom's Tavern & 1929 Grill,"2 N Central Ave
Phoenix, AZ 85004"
yExYqENb4F6qH6kJxTOaSQ,Karim's Cobbler Shop & Deli,"333 E Jefferson St
Ste 102
Phoenix, AZ 85004"
9BH18avE46LlHMvJn67MaA,The Downtown Deli,"130 N Central Ave
Phoenix, AZ 85004"
trAvQPp7gps0Btk-2AmLpw,Zoes Kitchen,"521 W McDowell Rd
Phoenix, AZ 85003"
VCQ3VvnVRhibTT8J61xWkw,Jack in the Box,"620 E Buckeye Rd
Phoenix, AZ 85004"
s6zzKc7UvwDRxn-BFlhiTg,Subway,"455 N 3rd St
Phoenix, AZ 85004"
4WcxnNv_lzCIG2eb8O5Mlg,The Brickhouse,"1 E Jackson St
Phoenix, AZ 85004"
gkv2XvXpFgiq4Bb2XK7YmQ,Hard Rock Café,"3 S. 2nd Street
Phoenix, AZ 85004"
If2DUhmWIvlu2JFc_rR-Bw,Papa Christo's,"2 N Central Ave
Phoenix, AZ 85004"
xH5axHFadmc7Veutt376TA,McDonald's,"545 E Mcdowell Rd
Phoenix, AZ 85004"
Vvh2Hd4SsZjEEfKLNKAEWw,Subway,"2817 N Central Ave
Phoenix, AZ 85004"
sInUSy63Oh455uWs9p9OqQ,Central Cafe,"2600 N Central Ave
Phoenix, AZ 85004"
x8WoC_7WHzXNmt6J13Nbvw,Jordan's Mexican Food,"2633 N Central Ave
Phoenix, AZ 85004"
wki-Qlp3OWgH0XtZ-Jz_WQ,Duck & Decanter,"1 N Central Ave
Phoenix, AZ 85004"
OoHWabV-ym7_HWlHeXTsVA,Best of Philly,"2818 N Central Ave
Phoenix, AZ 85004"
oSKT5oZX1NWYaHwOWL5lag,Ichi Ban Japanese Restaurant & Sushi,"2815 N Central Ave
Phoenix, AZ 85004"
QAe9UHKsxPdXQovBpaznMQ,Schlotzskys Deli,"2601 N Central Ave
Phoenix, AZ 85004"
q1nDSpmV-FdTBNj6UuZvTg,Honey Bear's BBQ,"2824 N Central Ave
Phoenix, AZ 85004"
muCl5p-9ut1sY0aKeUeRhw,Cheuvront,"1326 N Central Ave
Phoenix, AZ 85004"
